date,Team_1,Team_2,Winner,Margin,Ground
17-Jun-19,Bangladesh,West Indies,Bangladesh,7 wickets,Taunton
18-Jun-19,England,Afghanistan,England,150 runs,Manchester
19-Jun-19,New Zealand,South Africa,New Zealand,4 wickets,Birmingham
20-Jun-19,Australia,Bangladesh,Australia,48 runs,Nottingham
21-Jun-19,Sri Lanka,England,Sri Lanka,20 runs,Leeds
22-Jun-19,India,Afghanistan,India,11 runs,Southampton
22-Jun-19,New Zealand,West Indies,New Zealand,5 runs,Manchester
23-Jun-19,Pakistan,South Africa,Pakistan,49 runs,Lord's
24-Jun-19,Bangladesh,Afghanistan,Bangladesh,62 runs,Southampton
25-Jun-19,Australia,England,Australia,64 runs,Lord's
26-Jun-19,Pakistan,New Zealand,Pakistan,6 wickets,Birmingham
27-Jun-19,India,West Indies,India,125 runs,Manchester
28-Jun-19,South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street
29-Jun-19,Pakistan,Afghanistan,Pakistan,3 wickets,Leeds
29-Jun-19,Australia,New Zealand,Australia,86 runs,Lord's
30-Jun-19,England,India,England,31 runs,Birmingham
1-Jul-19,Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street
2-Jul-19,India,Bangladesh,India,28 runs,Birmingham
3-Jul-19,England,New Zealand,England,119 runs,Chester-le-Street
4-Jul-19,West Indies,Afghanistan,West Indies,23 runs,Leeds
5-Jul-19,Pakistan,Bangladesh,Pakistan,94 runs,Lord's
6-Jul-19,India,Sri Lanka,India,7 wickets,Leeds
6-Jul-19,South Africa,Australia,South Africa,10 runs,Manchester
9-Jul-19,New Zealand,India,New Zealand,18 runs,Manchester
11-Jul-19,England,Australia,England,8 wickets,Birmingham
26-Jul-19,Sri Lanka,Bangladesh,Sri Lanka,91 runs,Colombo (RPS)
28-Jul-19,Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Colombo (RPS)
31-Jul-19,Sri Lanka,Bangladesh,Sri Lanka,122 runs,Colombo (RPS)
11-Aug-19,India,West Indies,India,59 runs,Port of Spain
14-Aug-19,India,West Indies,India,6 wickets,Port of Spain
30-Sep-19,Pakistan,Sri Lanka,Pakistan,67 runs,Karachi
2-Oct-19,Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi
6-Nov-19,West Indies,Afghanistan,West Indies,7 wickets,Lucknow
9-Nov-19,West Indies,Afghanistan,West Indies,47 runs,Lucknow
11-Nov-19,West Indies,Afghanistan,West Indies,5 wickets,Lucknow
15-Dec-19,West Indies,India,West Indies,8 wickets,Chennai
18-Dec-19,India,West Indies,India,107 runs,Visakhapatnam
22-Dec-19,India,West Indies,India,4 wickets,Cuttack
14-Jan-20,Australia,India,Australia,10 wickets,Mumbai
17-Jan-20,India,Australia,India,36 runs,Rajkot
19-Jan-20,India,Australia,India,7 wickets,Bengaluru
4-Feb-20,South Africa,England,South Africa,7 wickets,Cape Town
5-Feb-20,New Zealand,India,New Zealand,4 wickets,Hamilton
8-Feb-20,New Zealand,India,New Zealand,22 runs,Auckland
9-Feb-20,England,South Africa,England,2 wickets,Johannesburg
11-Feb-20,New Zealand,India,New Zealand,5 wickets,Mount Maunganui
22-Feb-20,Sri Lanka,West Indies,Sri Lanka,1 wickets,Colombo (SSC)
26-Feb-20,Sri Lanka,West Indies,Sri Lanka,161 runs,Hambantota
29-Feb-20,South Africa,Australia,South Africa,74 runs,Paarl
1-Mar-20,Sri Lanka,West Indies,Sri Lanka,6 runs,Pallekele
4-Mar-20,South Africa,Australia,South Africa,6 wickets,Bloemfontein
7-Mar-20,South Africa,Australia,South Africa,6 wickets,Potchefstroom
13-Mar-20,Australia,New Zealand,Australia,71 runs,Sydney
11-Sep-20,Australia,England,Australia,19 runs,Manchester
13-Sep-20,England,Australia,England,24 runs,Manchester
16-Sep-20,Australia,England,Australia,3 wickets,Manchester
27-Nov-20,Australia,India,Australia,66 runs,Sydney
29-Nov-20,Australia,India,Australia,51 runs,Sydney
2-Dec-20,India,Australia,India,13 runs,Canberra
20-Jan-21,Bangladesh,West Indies,Bangladesh,6 wickets,Dhaka
22-Jan-21,Bangladesh,West Indies,Bangladesh,7 wickets,Dhaka
25-Jan-21,Bangladesh,West Indies,Bangladesh,120 runs,Chattogram
10-Mar-21,West Indies,Sri Lanka,West Indies,8 wickets,North Sound
12-Mar-21,West Indies,Sri Lanka,West Indies,5 wickets,North Sound
14-Mar-21,West Indies,Sri Lanka,West Indies,5 wickets,North Sound
20-Mar-21,New Zealand,Bangladesh,New Zealand,8 wickets,Dunedin
23-Mar-21,New Zealand,Bangladesh,New Zealand,5 wickets,Christchurch
23-Mar-21,India,England,India,66 runs,Pune
26-Mar-21,New Zealand,Bangladesh,New Zealand,164 runs,Wellington
26-Mar-21,England,India,England,6 wickets,Pune
28-Mar-21,India,England,India,7 runs,Pune
2-Apr-21,Pakistan,South Africa,Pakistan,3 wickets,Centurion
4-Apr-21,South Africa,Pakistan,South Africa,17 runs,Johannesburg
7-Apr-21,Pakistan,South Africa,Pakistan,28 runs,Centurion
23-May-21,Bangladesh,Sri Lanka,Bangladesh,33 runs,Dhaka
25-May-21,Bangladesh,Sri Lanka,Bangladesh,103 runs,Dhaka
28-May-21,Sri Lanka,Bangladesh,Sri Lanka,97 runs,Dhaka
29-Jun-21,England,Sri Lanka,England,5 wickets,Chester-le-Street
1-Jul-21,England,Sri Lanka,England,8 wickets,The Oval
8-Jul-21,England,Pakistan,England,9 wickets,Cardiff
10-Jul-21,England,Pakistan,England,52 runs,Lord's
13-Jul-21,England,Pakistan,England,3 wickets,Birmingham
18-Jul-21,India,Sri Lanka,India,7 wickets,Colombo (RPS)
20-Jul-21,India,Sri Lanka,India,3 wickets,Colombo (RPS)
20-Jul-21,Australia,West Indies,Australia,133 runs,Bridgetown
22-Jul-21,West Indies,Australia,West Indies,4 wickets,Bridgetown
23-Jul-21,Sri Lanka,India,Sri Lanka,3 wickets,Colombo (RPS)
26-Jul-21,Australia,West Indies,Australia,6 wickets,Bridgetown
2-Sep-21,Sri Lanka,South Africa,Sri Lanka,14 runs,Colombo (RPS)
4-Sep-21,South Africa,Sri Lanka,South Africa,67 runs,Colombo (RPS)
7-Sep-21,Sri Lanka,South Africa,Sri Lanka,78 runs,v Sri Lanka
19-Jan-22,South Africa,India,South Africa,31 runs,v South Africa
